Cr.ANO-RCC-MB                            Cr.ANO-RCC...4s3p1d.
Cr.ANO-RCC-VDZ                           Cr.ANO-RCC...5s4p2d.
Cr.ANO-RCC-VDZP                          Cr.ANO-RCC...5s4p2d1f.
Cr.ANO-RCC-VTZP                          Cr.ANO-RCC...6s5p3d2f1g.
Cr.ANO-RCC-VQZP                          Cr.ANO-RCC...7s6p4d3f2g1h.
Mn.ANO-RCC-MB                            Mn.ANO-RCC...4s3p1d.
Mn.ANO-RCC-VDZ                           Mn.ANO-RCC...5s4p2d.
Mn.ANO-RCC-VDZP                          Mn.ANO-RCC...5s4p2d1f.
Mn.ANO-RCC-VTZP                          Mn.ANO-RCC...6s5p3d2f1g.
Mn.ANO-RCC-VQZP                          Mn.ANO-RCC...7s6p4d3f2g1h.
Fe.ANO-RCC-MB                            Fe.ANO-RCC...4s3p1d.
Fe.ANO-RCC-VDZ                           Fe.ANO-RCC...5s4p2d.
Fe.ANO-RCC-VDZP                          Fe.ANO-RCC...5s4p2d1f.
Fe.ANO-RCC-VTZP                          Fe.ANO-RCC...6s5p3d2f1g.
Fe.ANO-RCC-VQZP                          Fe.ANO-RCC...7s6p4d3f2g1h.
Co.ANO-RCC-MB                            Co.ANO-RCC...4s3p1d.
Co.ANO-RCC-VDZ                           Co.ANO-RCC...5s4p2d.
Co.ANO-RCC-VDZP                          Co.ANO-RCC...5s4p2d1f.
Co.ANO-RCC-VTZP                          Co.ANO-RCC...6s5p3d2f1g.
Co.ANO-RCC-VQZP                          Co.ANO-RCC...7s6p4d3f2g1h.
Ni.ANO-RCC-MB                            Ni.ANO-RCC...4s3p1d.
Ni.ANO-RCC-VDZ                           Ni.ANO-RCC...5s4p2d.
Ni.ANO-RCC-VDZP                          Ni.ANO-RCC...5s4p2d1f.
Ni.ANO-RCC-VTZP                          Ni.ANO-RCC...6s5p3d2f1g.
Ni.ANO-RCC-VQZP                          Ni.ANO-RCC...7s6p4d3f2g1h.
Cu.ANO-RCC-MB                            Cu.ANO-RCC...4s3p1d.
Cu.ANO-RCC-VDZ                           Cu.ANO-RCC...5s4p2d.
Cu.ANO-RCC-VDZP                          Cu.ANO-RCC...5s4p2d1f.
Cu.ANO-RCC-VTZP                          Cu.ANO-RCC...6s5p3d2f1g.
Cu.ANO-RCC-VQZP                          Cu.ANO-RCC...7s6p4d3f2g1h.
Zn.ANO-RCC-MB                            Zn.ANO-RCC...4s3p1d.
Zn.ANO-RCC-VDZ                           Zn.ANO-RCC...5s4p2d.
Zn.ANO-RCC-VDZP                          Zn.ANO-RCC...5s4p2d1f.
Zn.ANO-RCC-VTZP                          Zn.ANO-RCC...6s5p3d2f1g.
Zn.ANO-RCC-VQZP                          Zn.ANO-RCC...7s6p4d3f2g1h.
Ga.ANO-RCC-MB                            Ga.ANO-RCC...4s3p1d.
Ga.ANO-RCC-VDZ                           Ga.ANO-RCC...5s4p1d.
Ga.ANO-RCC-VDZP                          Ga.ANO-RCC...5s4p2d.
Ga.ANO-RCC-VTZ                           Ga.ANO-RCC...6s5p3d.
Ga.ANO-RCC-VTZP                          Ga.ANO-RCC...6s5p3d1f.
Ga.ANO-RCC-VQZP                          Ga.ANO-RCC...7s6p4d2f1g.
Ge.ANO-RCC-MB                            Ge.ANO-RCC...4s3p1d.
Ge.ANO-RCC-VDZ                           Ge.ANO-RCC...5s4p1d.
Ge.ANO-RCC-VDZP                          Ge.ANO-RCC...5s4p2d.
Ge.ANO-RCC-VTZ                           Ge.ANO-RCC...6s5p3d.
Ge.ANO-RCC-VTZP                          Ge.ANO-RCC...6s5p3d1f.
Ge.ANO-RCC-VQZP                          Ge.ANO-RCC...7s6p4d2f1g.
As.ANO-RCC-MB                            As.ANO-RCC...4s3p1d.
As.ANO-RCC-VDZ                           As.ANO-RCC...5s4p1d.
As.ANO-RCC-VDZP                          As.ANO-RCC...5s4p2d.
As.ANO-RCC-VTZ                           As.ANO-RCC...6s5p3d.
As.ANO-RCC-VTZP                          As.ANO-RCC...6s5p3d1f.
As.ANO-RCC-VQZP                          As.ANO-RCC...7s6p4d2f1g.
Se.ANO-RCC-MB                            Se.ANO-RCC...4s3p1d.
Se.ANO-RCC-VDZ                           Se.ANO-RCC...5s4p1d.
Se.ANO-RCC-VDZP                          Se.ANO-RCC...5s4p2d.
Se.ANO-RCC-VTZ                           Se.ANO-RCC...6s5p3d.
Se.ANO-RCC-VTZP                          Se.ANO-RCC...6s5p3d1f.
Se.ANO-RCC-VQZP                          Se.ANO-RCC...7s6p4d2f1g.
Br.ANO-RCC-MB                            Br.ANO-RCC...4s3p1d.
Br.ANO-RCC-VDZ                           Br.ANO-RCC...5s4p1d.
Br.ANO-RCC-VDZP                          Br.ANO-RCC...5s4p2d.
Br.ANO-RCC-VTZ                           Br.ANO-RCC...6s5p3d.
Br.ANO-RCC-VTZP                          Br.ANO-RCC...6s5p3d1f.
Br.ANO-RCC-VQZP                          Br.ANO-RCC...7s6p4d2f1g.
Kr.ANO-RCC-MB                            Kr.ANO-RCC...4s3p1d.
Kr.ANO-RCC-VDZ                           Kr.ANO-RCC...5s4p1d.
Kr.ANO-RCC-VDZP                          Kr.ANO-RCC...5s4p2d.
Kr.ANO-RCC-VTZ                           Kr.ANO-RCC...6s5p3d.
Kr.ANO-RCC-VTZP                          Kr.ANO-RCC...6s5p3d1f.
Kr.ANO-RCC-VQZP                          Kr.ANO-RCC...7s6p4d2f1g.
Rb.ANO-RCC-MB                            Rb.ANO-RCC...5s4p1d.
Rb.ANO-RCC-VDZ                           Rb.ANO-RCC...6s5p1d.
Rb.ANO-RCC-VDZP                          Rb.ANO-RCC...6s5p2d.
Rb.ANO-RCC-VTZ                           Rb.ANO-RCC...7s6p3d.
Rb.ANO-RCC-VTZP                          Rb.ANO-RCC...7s6p3d1f.
Rb.ANO-RCC-VQZP                          Rb.ANO-RCC...8s7p4d2f1g.
Sr.ANO-RCC-MB                            Sr.ANO-RCC...5s4p1d.
Sr.ANO-RCC-VDZ                           Sr.ANO-RCC...6s5p1d.
Sr.ANO-RCC-VDZP                          Sr.ANO-RCC...6s5p2d.
Sr.ANO-RCC-VTZ                           Sr.ANO-RCC...7s6p3d.
Sr.ANO-RCC-VTZP                          Sr.ANO-RCC...7s6p3d1f.
Sr.ANO-RCC-VQZP                          Sr.ANO-RCC...8s7p4d2f1g.
Y.ANO-RCC-MB                             Y.ANO-RCC...5s4p2d.
Y.ANO-RCC-VDZ                            Y.ANO-RCC...6s5p3d.
Y.ANO-RCC-VDZP                           Y.ANO-RCC...6s5p3d1f.
Y.ANO-RCC-VTZP                           Y.ANO-RCC...7s6p4d2f1g.
Y.ANO-RCC-VQZP                           Y.ANO-RCC...8s7p5d3f2g1h.
Zr.ANO-RCC-MB                            Zr.ANO-RCC...5s4p2d.
Zr.ANO-RCC-VDZ                           Zr.ANO-RCC...6s5p3d.
Zr.ANO-RCC-VDZP                          Zr.ANO-RCC...6s5p3d1f.
Zr.ANO-RCC-VTZP                          Zr.ANO-RCC...7s6p4d2f1g.
Zr.ANO-RCC-VQZP                          Zr.ANO-RCC...8s7p5d3f2g1h.
Nb.ANO-RCC-MB                            Nb.ANO-RCC...5s4p2d.
Nb.ANO-RCC-VDZ                           Nb.ANO-RCC...6s5p3d.
Nb.ANO-RCC-VDZP                          Nb.ANO-RCC...6s5p3d1f.
Nb.ANO-RCC-VTZP                          Nb.ANO-RCC...7s6p4d2f1g.
Nb.ANO-RCC-VQZP                          Nb.ANO-RCC...8s7p5d3f2g1h.
